trajectory_key,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score,error
82e1485de4fa5b71,True,1.0,1.0,1.0,0.39489297329306466,1.0,1.0,0.7478720722054436,
1b439c269a83590c,True,1.0,1.0,1.0,0.5566990961282269,1.0,1.0,0.8152912900534278,
f0d1419c24b85651,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
acfe9f2fe77c5b79,True,1.0,1.0,1.0,0.19995679594127452,1.0,1.0,0.6666486649755311,
50aa287e430e5ab3,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334,
1126dc50618d5981,True,1.0,1.0,1.0,0.1781427745252308,1.0,1.0,0.6575594893855129,
7ac633604a3c572d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
7b6efdd222ca5777,True,1.0,1.0,1.0,0.4147685700065426,1.0,1.0,0.7561535708360595,
964c8941cfe558bb,True,1.0,1.0,1.0,0.5690308924161542,1.0,1.0,0.820429538506731,
c51794fe27365574,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
49ee466685265a80,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
fe5298731e0f5a6c,True,1.0,1.0,1.0,0.9083604271601069,1.0,1.0,0.9618168446500445,
ee91209e45fe5141,True,1.0,1.0,1.0,0.34123548663109826,1.0,1.0,0.725514786096291,
d7928caf300452e2,True,1.0,1.0,1.0,0.37338505403620037,1.0,0.0,0.5722437725150834,
3b34e3fd5b9e5767,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
92c38e520e515a8a,True,1.0,1.0,1.0,0.3598465621965283,1.0,0.0,0.5666027342485535,
90335cc20a755637,True,1.0,1.0,1.0,0.44917115517723577,1.0,1.0,0.7704879813238482,
6d2fdf97f60654af,True,0.5,1.0,1.0,0.4748382210079783,0.0,1.0,0.18225796270999547,
c013fdf3f7505fc2,True,1.0,1.0,1.0,0.5354670690758794,1.0,1.0,0.8064446121149498,
3ceb5afc67975881,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
8d86cfd038145f2a,True,1.0,1.0,1.0,0.328367326845442,1.0,0.0,0.5534863861856009,
60216ba3ee9557d9,True,1.0,1.0,1.0,0.34320515445591426,1.0,1.0,0.7263354810232977,
834a7c22e2c55c71,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
7c7e92d50f92564b,True,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
410171a43ce453c2,True,1.0,1.0,1.0,0.3725731507744971,1.0,0.0,0.5719054794893738,
c460ec097ed958a2,True,1.0,1.0,1.0,0.447139075048645,1.0,0.0,0.602974614603602,
cb8b1f36617c50d4,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334,
7ab9788ed4bb5bda,True,1.0,1.0,1.0,0.360356074642117,1.0,0.0,0.566815031100882,
edb0dbd58be650f3,True,1.0,1.0,1.0,0.23437269981974085,1.0,1.0,0.680988624924892,
671da9103fe05141,True,1.0,1.0,1.0,0.1688147971955418,1.0,1.0,0.6536728321648091,
b3211f9908a45786,True,1.0,1.0,1.0,0.45481015546916065,1.0,1.0,0.7728375647788169,
9a0b762c08af59f8,False,,,,,,,,angle is not finite
